datetime,Date,Time,Open,High,low,Close,Volume
2019-09-04,20190904,0,216.435,228.5,216.435,226.489,9859135
2019-09-05,20190905,0,226.124,232.156,222.285,224.844,6135316
2019-09-06,20190906,0,229.78,232.887,227.22,227.952,4599705
2019-09-09,20190909,0,228.317,230.328,227.038,227.586,2265440
2019-09-10,20190910,0,228.5,229.231,223.382,224.113,2766130
2019-09-11,20190911,0,222.65,224.844,218.629,224.661,6664065
2019-09-12,20190912,0,218.08,219.36,216.252,217.166,16292507
2019-09-13,20190913,0,217.349,220.64,216.435,219.726,7993296
2019-09-16,20190916,0,217.349,218.446,214.242,214.79,8649822
2019-09-17,20190917,0,214.973,215.521,211.5,211.865,5323776
2019-09-18,20190918,0,212.779,214.607,212.596,213.51,2807899
2019-09-19,20190919,0,214.059,214.424,209.854,210.951,4880120
2019-09-20,20190920,0,209.854,212.596,209.854,210.768,2481144
2019-09-23,20190923,0,208.758,210.22,204.919,206.93,7520758
2019-09-24,20190924,0,206.564,207.295,204.005,206.381,5614519
2019-09-25,20190925,0,205.102,205.65,202.908,203.456,3780213
2019-09-26,20190926,0,205.102,206.381,204.553,206.016,4281176
2019-09-27,20190927,0,205.65,207.661,203.822,207.295,2883304
2019-09-30,20190930,0,207.478,212.596,206.381,210.037,7260725
2019-10-02,20191002,0,207.478,209.123,206.016,208.758,4136033
2019-10-03,20191003,0,206.564,210.22,205.65,209.672,2851314
2019-10-04,20191004,0,209.306,209.489,204.736,206.564,3462232
2019-10-08,20191008,0,212.048,214.059,208.392,211.317,7849432
2019-10-09,20191009,0,208.575,210.951,207.844,210.22,4500993
2019-10-10,20191010,0,210.403,213.693,208.94,211.865,3753889
2019-10-11,20191011,0,213.693,218.08,213.693,216.618,7194551
2019-10-14,20191014,0,216.984,217.898,215.521,216.801,4502730
2019-10-15,20191015,0,217.715,218.446,215.156,216.252,2422466
2019-10-16,20191016,0,215.704,216.801,214.059,216.07,3205398
2019-10-17,20191017,0,215.704,216.801,214.242,216.435,2643379
2019-10-18,20191018,0,217.715,219.908,216.801,217.349,6781423
2019-10-21,20191021,0,218.812,222.285,218.446,221.554,6246367
2019-10-22,20191022,0,221.736,222.102,221.005,221.188,2674364
2019-10-23,20191023,0,221.736,222.102,217.532,220.091,2527941
2019-10-24,20191024,0,220.64,221.371,218.629,219.726,1696658
2019-10-25,20191025,0,219.36,221.554,217.898,220.457,1877630
2019-10-28,20191028,0,220.274,222.65,220.274,222.285,2333259
2019-10-29,20191029,0,223.016,223.93,220.274,221.371,2987135
2019-10-30,20191030,0,221.554,222.65,219.36,220.091,1517514
2019-10-31,20191031,0,221.736,227.22,221.736,223.93,4211346
2019-11-01,20191101,0,223.747,226.672,223.016,225.941,3314804
2019-11-04,20191104,0,227.22,228.5,226.672,228.5,3157230
2019-11-05,20191105,0,228.317,229.414,226.855,227.952,2761377
2019-11-06,20191106,0,228.5,229.962,226.124,229.048,2817953
2019-11-07,20191107,0,229.414,231.059,227.952,231.059,2758635
2019-11-08,20191108,0,232.156,232.522,230.694,231.973,3066653
2019-11-11,20191111,0,229.048,231.425,223.564,225.027,6764605
2019-11-12,20191112,0,227.22,227.586,223.382,225.575,3532427
2019-11-13,20191113,0,220.822,223.199,219.36,221.371,4809285
2019-11-14,20191114,0,220.274,224.113,219.726,221.188,3735427
2019-11-15,20191115,0,221.919,223.93,218.994,219.908,2713026
2019-11-18,20191118,0,221.005,225.392,220.274,223.747,2816765
2019-11-19,20191119,0,224.478,230.328,223.199,230.145,6181473
2019-11-20,20191120,0,228.317,228.5,226.306,227.403,3074239
2019-11-21,20191121,0,225.392,226.124,222.285,224.661,3189220
2019-11-22,20191122,0,225.758,226.672,223.564,224.661,2238660
2019-11-25,20191125,0,227.586,231.059,225.758,227.769,5059081
2019-11-26,20191126,0,232.156,232.339,226.124,226.672,2377405
2019-11-27,20191127,0,227.586,228.134,225.758,227.038,2041876
2019-11-28,20191128,0,225.941,229.414,224.296,229.048,2674547
2019-11-29,20191129,0,225.21,228.5,225.027,225.575,3014555
2019-12-02,20191202,0,226.672,227.769,226.124,226.306,2625099
2019-12-03,20191203,0,226.306,227.952,224.113,225.941,2575012
