datetime,date,time,open,high,low,close,volume
2022-01-03,20220103,0,23.68,23.76,23.34,23.4,99697500
2022-01-04,20220104,0,23.52,23.58,23.28,23.4,74199500
2022-01-05,20220105,0,23.44,23.44,23.0,23.02,149215500
2022-01-06,20220106,0,23.0,23.22,22.86,23.18,115595000
2022-01-07,20220107,0,23.38,23.66,23.28,23.62,168530500
2022-01-10,20220110,0,23.6,23.92,23.54,23.86,186419000
2022-01-11,20220111,0,23.8,24.0,23.7,23.84,139302000
2022-01-12,20220112,0,24.12,24.52,24.12,24.48,192294500
2022-01-13,20220113,0,24.64,24.68,24.44,24.56,135635000
2022-01-14,20220114,0,24.32,24.52,24.28,24.48,162149500
2022-01-17,20220117,0,24.48,24.56,24.24,24.34,131931000
2022-01-18,20220118,0,24.4,24.54,24.16,24.24,120226000
2022-01-19,20220119,0,24.3,24.42,24.1,24.22,85650500
2022-01-20,20220120,0,24.36,25.1,24.36,25.06,119691500
2022-01-21,20220121,0,25.0,25.12,24.88,25.06,68203000
2022-01-24,20220124,0,24.86,24.94,24.72,24.76,111650000
2022-01-25,20220125,0,24.36,24.52,24.14,24.38,292634500
2022-01-26,20220126,0,24.5,24.62,24.26,24.38,179828500
2022-01-27,20220127,0,24.24,24.24,23.7,23.86,290789000
2022-01-28,20220128,0,24.0,24.02,23.64,23.7,162162000
2022-01-31,20220131,0,23.78,24.12,23.6,24.0,98155500
2022-02-04,20220204,0,24.38,24.76,24.28,24.7,217883500
2022-02-07,20220207,0,24.7,24.74,24.5,24.68,146881000
2022-02-08,20220208,0,24.68,24.7,24.3,24.48,111798500
2022-02-09,20220209,0,24.88,25.04,24.82,24.94,106848000
2022-02-10,20220210,0,25.16,25.16,24.8,25.02,164908000
2022-02-11,20220211,0,24.92,25.1,24.88,25.0,160608000
2022-02-14,20220214,0,24.82,24.88,24.62,24.7,117119000
2022-02-15,20220215,0,24.62,24.72,24.36,24.42,95675000
2022-02-16,20220216,0,24.72,24.9,24.68,24.84,82024500
2022-02-17,20220217,0,24.88,25.02,24.66,24.88,78675500
2022-02-18,20220218,0,24.82,24.9,24.42,24.44,156913500
2022-02-21,20220221,0,24.22,24.36,24.14,24.3,204756000
2022-02-22,20220222,0,23.88,23.96,23.48,23.62,244202500
2022-02-23,20220223,0,23.72,23.88,23.64,23.78,104222500
2022-02-24,20220224,0,23.34,23.5,22.92,23.04,273725500
2022-02-25,20220225,0,23.08,23.18,22.86,22.92,159156500
2022-02-28,20220228,0,22.9,22.92,22.54,22.82,148611500
2022-03-01,20220301,0,22.86,23.06,22.7,22.9,77515000
2022-03-02,20220302,0,22.68,22.82,22.42,22.48,73337500
2022-03-03,20220303,0,22.58,22.66,22.5,22.58,88049000
2022-03-04,20220304,0,22.1,22.16,21.96,22.04,189292500
2022-03-07,20220307,0,21.48,21.5,20.96,21.18,214052500
2022-03-08,20220308,0,21.26,21.44,20.76,20.88,261276500
2022-03-09,20220309,0,21.0,21.12,20.24,20.78,381269000
2022-03-10,20220310,0,21.18,21.3,20.9,21.06,186415000
2022-03-11,20220311,0,20.6,20.98,20.26,20.78,293675000
2022-03-14,20220314,0,20.42,20.42,19.62,19.72,370408500
2022-03-15,20220315,0,19.29,19.59,18.43,18.65,717568996
2022-03-16,20220316,0,19.14,20.32,18.76,20.26,949479980
2022-03-17,20220317,0,21.38,21.66,20.96,21.58,425234500
2022-03-18,20220318,0,21.4,21.84,21.12,21.66,337561000
2022-03-21,20220321,0,21.98,21.98,21.26,21.38,154384000
2022-03-22,20220322,0,21.56,22.12,21.46,22.08,130681500
2022-03-23,20220323,0,22.22,22.6,22.16,22.34,160803000
2022-03-24,20220324,0,22.2,22.42,22.08,22.12,87918000
2022-03-25,20220325,0,21.96,22.14,21.48,21.6,130487000
2022-03-28,20220328,0,21.6,21.98,21.42,21.88,90440000
2022-03-29,20220329,0,21.96,22.12,21.92,22.1,150611000
2022-03-30,20220330,0,22.3,22.58,22.24,22.4,122397000
2022-03-31,20220331,0,22.4,22.42,22.1,22.26,66685500
2022-04-01,20220401,0,21.88,22.22,21.74,22.18,149701000
2022-04-04,20220404,0,22.44,22.74,22.32,22.7,139992500
2022-04-06,20220406,0,22.42,22.46,22.22,22.24,91884000
2022-04-07,20220407,0,22.14,22.42,21.96,22.06,157584000
2022-04-08,20220408,0,21.94,22.06,21.76,22.04,158770000
2022-04-11,20220411,0,21.88,21.88,21.34,21.38,228930500
2022-04-12,20220412,0,21.48,21.72,21.18,21.48,159473500
2022-04-13,20220413,0,21.42,21.72,21.32,21.54,164426000
2022-04-14,20220414,0,21.64,21.8,21.56,21.7,159733500
2022-04-19,20220419,0,20.442,20.48,20.154,20.308,211853482
2022-04-20,20220420,0,20.25,20.499,20.174,20.231,95601908
2022-04-21,20220421,0,20.135,20.212,19.81,19.982,239565332
2022-04-22,20220422,0,19.714,20.02,19.504,19.925,188428515
2022-04-25,20220425,0,19.58,19.58,19.14,19.217,318997288
2022-04-26,20220426,0,19.351,19.58,19.178,19.236,169251192
2022-04-27,20220427,0,19.092,19.37,19.025,19.293,197280765
2022-04-28,20220428,0,20.22,20.4,20.06,20.34,237777500
2022-04-29,20220429,0,20.3,21.3,20.14,21.22,205056000
2022-05-03,20220503,0,21.04,21.42,20.74,21.2,106311500
2022-05-04,20220504,0,21.2,21.2,20.9,20.98,89435500
2022-05-05,20220505,0,21.28,21.4,20.88,20.92,124724500
2022-05-06,20220506,0,20.38,20.44,20.08,20.14,211355500
2022-05-10,20220510,0,19.46,19.87,19.3,19.75,164284500
2022-05-11,20220511,0,19.65,20.2,19.58,19.93,163588500
2022-05-12,20220512,0,19.63,19.83,19.46,19.5,101784500
2022-05-13,20220513,0,19.68,20.06,19.68,20.02,115989500
2022-05-16,20220516,0,20.22,20.28,19.88,20.04,46893500
2022-05-17,20220517,0,20.14,20.74,20.14,20.66,97677500
2022-05-18,20220518,0,20.7,20.84,20.5,20.74,141968500
2022-05-19,20220519,0,20.24,20.42,20.04,20.24,131420500
2022-05-20,20220520,0,20.62,20.94,20.54,20.88,159020500
2022-05-23,20220523,0,20.78,20.8,20.44,20.62,149674500
2022-05-24,20220524,0,20.62,20.7,20.16,20.28,198417500
2022-05-25,20220525,0,20.34,20.58,20.28,20.44,111678000
2022-05-26,20220526,0,20.48,20.48,20.08,20.28,172349500
2022-05-27,20220527,0,20.82,21.0,20.72,20.9,212467000
2022-05-30,20220530,0,21.14,21.38,21.1,21.32,264392500
2022-05-31,20220531,0,21.3,21.64,21.26,21.56,188486000
2022-06-01,20220601,0,21.68,21.68,21.42,21.54,122264500
2022-06-02,20220602,0,21.28,21.38,21.12,21.3,80336000
2022-06-06,20220606,0,21.5,21.96,21.28,21.9,174361500
2022-06-07,20220607,0,21.76,22.02,21.66,21.78,106881000
2022-06-08,20220608,0,22.0,22.34,22.0,22.26,132608000
2022-06-09,20220609,0,22.3,22.44,22.06,22.14,143639500
2022-06-10,20220610,0,21.84,22.24,21.8,22.12,161836500
2022-06-13,20220613,0,21.44,21.62,21.3,21.34,176977000
2022-06-14,20220614,0,21.12,21.48,21.04,21.38,182149000
2022-06-15,20220615,0,21.38,21.74,21.38,21.62,203267500
2022-06-16,20220616,0,21.8,21.84,21.0,21.1,215309000
2022-06-17,20220617,0,21.1,21.48,21.04,21.4,141882000
2022-06-20,20220620,0,21.34,21.5,21.18,21.48,147878000
2022-06-21,20220621,0,21.6,21.9,21.5,21.86,108865500
2022-06-22,20220622,0,21.76,21.82,21.36,21.38,145562000
2022-06-23,20220623,0,21.5,21.8,21.36,21.6,74733000
2022-06-24,20220624,0,21.78,22.1,21.76,22.02,160262000
2022-06-27,20220627,0,22.3,22.74,22.3,22.54,227726000
2022-06-28,20220628,0,22.48,22.8,22.3,22.72,127883000
